ts,stage,rep,hint_base,hint_R,held,shift1,shift2,long_ang,aspect,clipped,rot,attempts,aim_err_px,grasp_s,place_s,total_s,off_centre_px,place_err_px,batt_v,note
2026-07-26T16:17:49,S1,1,326,165.0,True,8.1,7.8,118.9,2.13,,499,1,,,,,,12.5,7.753,
2026-07-26T16:19:08,S1,2,326,165.0,True,3.2,4.1,95.7,2.47,,499,1,,,,,,7.8,7.753,
2026-07-26T16:20:56,S1,3,326,165.0,True,2.8,3.6,95.2,2.72,,534,1,,,,,,42.5,7.753,
2026-07-26T16:22:13,S1,4,326,165.0,True,1.8,1.5,77.1,3.07,,433,1,,,,,,46.0,7.753,
2026-07-26T16:25:02,S1,1,326,165.0,True,3.3,4.1,82.6,2.93,True,499,1,,52.4,10.6,63.4,,74.3,7.753,
2026-07-26T16:26:52,S1,2,326,165.0,False,,,97.7,2.38,False,,2,,107.5,,107.5,,,7.753,
2026-07-26T16:29:53,S1,3,326,165.0,False,,,98.0,1.22,True,,2,,178.6,,178.6,,,7.727,
2026-07-26T16:32:20,S1,4,326,165.0,False,,,141.6,1.85,True,,2,,145.9,,145.9,,,7.734,
2026-07-26T16:36:41,S1,1,326,165.0,False,,,90.0,1.02,True,,2,,219.4,,219.4,,,7.681,
2026-07-26T16:40:14,S1,2,326,165.0,False,,,,1.71,True,,2,,210.4,,210.4,,,7.734,
2026-07-26T16:43:28,S1,3,326,165.0,False,,,133.7,1.93,True,,2,,192.4,,192.4,,,7.714,
2026-07-26T16:55:50,S1,1,380,150.0,False,,,,6.51,True,,2,,162.9,,162.9,,,7.661,
2026-07-26T16:58:59,S1,2,380,150.0,False,,,152.7,2.57,True,,2,,187.7,,187.7,,,7.734,
2026-07-26T17:02:14,S1,3,380,150.0,False,,,161.9,1.21,False,,2,,192.5,,192.5,,,7.694,
2026-07-26T17:30:35,S1,1,455,150.0,False,,,150.8,2.1,False,,2,,124.1,,124.1,,,7.72,
2026-07-26T17:51:34,S1,1,730,150.0,False,,,90.0,1.63,True,,2,,196.3,,196.3,,,7.714,
2026-07-26T17:55:18,S1,2,730,150.0,False,,,90.0,1.41,True,,2,,222.3,,222.3,,,7.727,
2026-07-26T17:59:08,S1,3,730,150.0,False,,,84.3,1.49,False,,2,,228.2,,228.2,,,7.753,
2026-07-27T00:54:51,S1,1,430,150.0,False,,,,,,,2,,163.2,,163.2,,,7.654,
2026-07-27T00:57:48,S1,2,430,150.0,False,,,38.3,2.82,False,,2,,174.8,,174.8,,,7.687,
2026-07-27T01:01:18,S1,3,430,150.0,False,,,88.0,1.07,False,,2,,208.2,,208.2,,,7.674,
2026-07-27T01:15:04,S1,1,430,150.0,False,,,90.0,1.02,True,,2,,200.6,,200.6,,,7.674,
2026-07-27T01:18:26,S1,2,430,150.0,False,,,,,,,2,,197.2,,197.2,,,7.734,
2026-07-27T01:21:39,S1,3,430,150.0,False,,,,,,,2,,188.2,,188.2,,,7.747,
2026-07-27T01:57:54,S1,1,430,150.0,False,,,,,,,2,,167.9,,167.9,,,7.661,
2026-07-27T02:01:11,S1,2,430,150.0,True,10.6,12.3,31.4,3.34,True,281,2,,179.9,10.5,193.6,,38.7,7.701,
2026-07-27T02:02:58,S1,3,430,150.0,False,,,,,,,2,,102.3,,102.3,,,7.753,
2026-07-27T02:06:42,S1,1,430,150.0,False,,,,2.42,True,,2,,108.7,,108.7,,,7.747,
2026-07-27T02:08:36,S1,2,430,150.0,False,,,,,,,2,,109.1,,109.1,,,7.734,
2026-07-27T02:10:30,S1,3,430,150.0,False,,,,,,,2,,109.2,,109.2,,,7.727,
2026-07-27T02:12:24,S1,4,430,150.0,False,,,,,,,2,,109.0,,109.0,,,7.734,
2026-07-27T10:10:31,S1,1,430,150.0,False,,,88.8,2.83,True,,2,,121.5,,121.5,,,7.753,
2026-07-27T10:12:36,S1,2,430,150.0,False,,,,,,,2,,120.5,,120.5,,,7.753,
2026-07-27T10:14:41,S1,3,430,150.0,False,,,,,,,2,,120.0,,120.0,,,7.753,
2026-07-27T10:16:47,S1,4,430,150.0,False,,,,,,,2,,120.5,,120.5,,,7.753,
2026-07-27T10:33:33,S1,1,430,150.0,True,9.7,1.5,169.2,4.56,False,463,1,14.4,89.9,10.5,102.1,62.5,138.8,7.734,
2026-07-27T10:35:29,S1,2,430,150.0,False,,,73.6,2.67,True,,2,,114.1,,114.1,,,7.753,
2026-07-27T10:37:28,S1,3,430,150.0,False,,,,,,,2,,114.0,,114.0,,,7.747,
2026-07-27T10:39:27,S1,4,430,150.0,False,,,,,,,2,,113.9,,113.9,,,7.747,
2026-07-27T10:42:06,S1,5,430,150.0,True,11.4,11.2,,,,413,2,11.8,140.5,10.4,154.1,,498.1,7.734,
